Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
101.5,6.5311214259648835e-25,5.321578592031884e-26,2.182375226513013e-26,1.0342648771483052e-24,2.891913687309848e-26
102.0,5.032787058229687e-25,4.150905707485869e-26,1.7065652394669363e-26,7.958716444335274e-25,2.2623409776430197e-26
102.5,3.876479842245152e-25,3.2359662082461696e-26,1.333726922003307e-26,6.121644756693005e-25,1.7687843351720142e-26
103.0,2.9845404977379492e-25,2.5213159703472192e-26,1.0417537039342641e-26,4.706626674773927e-25,1.382100035281049e-26
103.5,2.296842075193756e-25,1.9634333259930408e-26,8.132438695711446e-27,3.6171836997795296e-25,1.0793330196612863e-26
104.0,1.7668561632635166e-25,1.528178072619019e-26,6.345087029219042e-27,2.7787735845665143e-25,8.424155778514147e-27
104.5,1.3585958876386067e-25,1.188786775338859e-26,4.9478756405665564e-27,2.1338313490174886e-25,6.571367239429827e-27
105.0,1.0442416787337583e-25,9.242923840333357e-27,3.85627218395951e-27,1.6379244097651422e-25,5.123266286257786e-27
105.5,8.022983848273225e-26,7.182792907260155e-27,3.0039143077413834e-27,1.2567731926882515e-25,3.992117516217471e-27
106.0,6.161656335024727e-26,5.579033532793905e-27,2.3387378203786492e-27,9.639436804989492e-26,3.1090534978647908e-27
106.5,4.7302939692656326e-26,4.3312105125242256e-27,1.8199221205884137e-27,7.390613242603667e-26,2.420052545508394e-27
107.0,3.630030686166311e-26,3.360835764250414e-27,1.4154821703519574e-27,5.664292549800287e-26,1.8827657647940818e-27
107.5,2.7846224708035707e-26,2.6066090141148992e-27,1.1003715440549741e-27,4.3395983831635646e-26,1.4640159286320857e-27
108.0,2.1352981586593198e-26,2.0206820146058886e-27,8.549891541038844e-28,3.3234894292391563e-26,1.1378273865028681e-27
108.5,1.636775718036469e-26,1.5657281621561004e-27,6.640045773996032e-28,2.5443811019611945e-26,8.83875384293511e-28
109.0,1.2541818075635662e-26,1.2126454095142109e-27,5.15434646808536e-28,1.9472211304110782e-26,6.862663767564144e-28
109.5,9.606710084059165e-27,9.387567895565947e-28,3.9991805592869324e-28,1.489689500425086e-26,5.32579354552557e-28
110.0,7.355867304355236e-27,7.264016631341418e-28,3.1014589742460114e-28,1.139267452517676e-26,4.131128477432729e-28
110.5,5.630412489174227e-27,5.618335515946012e-28,2.4041490946990054e-28,8.709778624499396e-27,3.2029388018866273e-28
111.0,4.30819882190344e-27,4.3435837037779725e-28,1.862772162539781e-28,6.656440316331536e-27,2.4821435250979247e-28
111.5,3.2953572010041886e-27,3.3566104182281768e-28,1.4426589600479443e-28,5.085485704378566e-27,1.9226761870038745e-28
112.0,2.5197792249143815e-27,2.5927962597620695e-28,1.116800956192084e-28,3.884009103036791e-27,1.4886378705324134e-28
112.5,1.9260949143771436e-27,2.001948969685405e-28,8.641687533000071e-29,2.9654277556533213e-27,1.152068338302048e-28
113.0,1.4718040988815215e-27,1.5451020828687802e-28,6.6839701260849e-29,2.2633704084675266e-27,8.912021814713462e-29
113.5,1.1242977928368421e-27,1.192019281517736e-28,5.167566034789138e-29,1.726978502918293e-27,6.891052784507523e-29
114.0,8.585658260382076e-28,9.192499892062896e-29,3.993517173929527e-29,1.3172950092975698e-27,5.326092683368595e-29
114.5,6.55433385450206e-28,7.086152924706068e-29,3.084930726297471e-29,1.0044903093502478e-27,4.114794011511558e-29
